央视,#genre#
CCTV-1综合,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226667/1.m3u8
CCTV-1综合,http://60.255.120.30:89/live2/live2.m3u8
CCTV-1综合,http://223.95.111.98:5555/newlive/live/hls/1/live.m3u8
CCTV-1综合,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225804/index.m3u8?
CCTV-1综合,https://cntv.sbs/tv?auth=230830&id=cctv1
CCTV-2财经,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?
CCTV-2财经,https://cntv.sbs/tv?auth=230830&id=cctv2
CCTV-2财经,http://1.195.111.251:11190/tsfile/live/0002_1.m3u8
CCTV-3综艺,https://cntv.sbs/tv?auth=230830&id=cctv3
CCTV-3综艺,http://1.195.111.251:11190/tsfile/live/0003_1.m3u8
CCTV-3综艺,https://live.goodiptv.club/api/cqyx.php?id=cctv3HD
CCTV-4中文国际,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8
CCTV-4中文国际,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-4中文国际,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-4中文国际,http://221.213.43.82:8888/newlive/live/hls/5/live.m3u8
CCTV-4中文国际,https://live.goodiptv.club/api/cqyx.php?id=cctv4HD
CCTV-5体育,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8
CCTV-5体育,http://221.213.43.82:8888/newlive/live/hls/6/live.m3u8
CCTV-5体育,http://111.59.63.32:9901/tsfile/live/1012_1.m3u8
CCTV-5体育,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV-5体育,http://1.195.111.251:11190/tsfile/live/0005_1.m3u8
CCTV-5+体育赛事,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8
CCTV-5+体育赛事,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-5+体育赛事,https://cntv.sbs/tv?auth=230830&id=cctv5p
CCTV-5+体育赛事,http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-5+体育赛事,http://221.213.43.82:8888/newlive/live/hls/7/live.m3u8
